repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
JavaGuide,,,0.0,,,0.0,,,0.0
hello-algo,1.87,2.0,1.51,1.0,1.0,0.0,4.71,1.0,10.46
GitHub-Chinese-Top-Charts,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
java-design-patterns,3.36,3.0,2.61,1.2,1.0,0.53,1.83,0.0,6.35
mall,3.93,3.0,4.97,1.24,1.0,0.44,1110.8,13.0,8155.56
spring-boot,5.49,4.0,6.42,1.29,1.0,0.77,12.94,0.0,108.31
advanced-java,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LeetCodeAnimation,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
elasticsearch,,,0.0,,,0.0,,,0.0
ghidra,,,0.0,,,0.0,,,0.0
Java,2.08,2.0,1.48,1.04,1.0,0.26,11.2,1.0,37.12
interviews,1.19,1.0,1.25,1.0,1.0,0.06,0.29,0.0,0.93
spring-framework,5.25,3.0,6.81,1.47,1.0,1.52,29.5,0.0,274.12
termux-app,5.91,4.0,7.19,1.43,1.0,0.7,60.83,0.0,236.37
guava,4.21,2.0,5.69,1.86,1.0,2.32,51.59,0.0,463.24
dbeaver,,,0.0,,,0.0,,,0.0
RxJava,2.33,1.0,5.15,1.32,1.0,0.89,47.88,0.0,1822.91
jadx,4.37,3.0,6.48,1.65,1.0,1.24,32.3,0.0,317.3
JeecgBoot,7.36,4.0,9.6,1.18,1.0,0.45,55.87,0.0,362.76
dubbo,5.44,4.0,5.85,1.29,1.0,0.69,45.92,1.0,434.8
MPAndroidChart,8.84,5.0,10.01,1.98,1.0,1.23,91.03,1.0,517.8
halo,7.7,5.0,7.37,1.27,1.0,0.69,7.66,0.0,31.41
NewPipe,8.66,5.0,10.62,1.72,1.0,1.15,47.87,1.0,249.4
tutorials,4.13,3.0,4.01,1.11,1.0,0.42,5.9,0.0,40.12
arthas,4.69,3.0,5.79,1.36,1.0,0.75,30.2,0.0,149.87
ruoyi-vue-pro,8.21,6.0,7.61,1.22,1.0,0.44,13.59,0.0,435.9
hello-algorithm,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
leetcode,2.69,2.0,1.98,1.01,1.0,0.08,0.37,0.0,0.87
lottie-android,6.97,5.0,8.35,1.29,1.0,0.65,35.8,0.0,302.49
awesome-system-design-resources,0.82,1.0,0.6,1.0,1.0,0.0,0.0,0.0,0.0
glide,5.98,4.0,6.5,1.24,1.0,0.8,20.0,0.0,157.74
netty,4.49,3.0,5.86,1.53,1.0,1.2,69.06,0.0,1152.79
selenium,5.79,4.0,7.01,1.38,1.0,1.05,33.5,1.0,285.34
spring-boot-demo,5.05,4.0,4.0,1.13,1.0,0.49,2.32,0.0,9.81
zxing,4.99,4.0,4.8,1.66,2.0,0.77,22.81,0.0,130.44
easyexcel,6.63,5.0,6.09,1.38,1.0,0.83,32.02,1.0,355.67
AndroidUtilCode,4.17,2.0,5.56,1.36,1.0,0.84,144.95,0.0,960.51
keycloak,7.0,4.0,8.4,1.53,1.0,1.02,71.06,2.0,965.01
nacos,5.43,3.0,6.57,1.28,1.0,0.67,22.49,0.0,280.35
WxJava,5.45,4.0,6.55,1.21,1.0,0.44,20.96,0.0,237.76
kafka,8.0,4.0,13.49,1.44,1.0,1.1,64.98,0.0,1205.63
conductor,7.44,6.0,7.81,1.23,1.0,0.5,61.04,0.0,335.14
spring-boot-examples,4.73,4.0,3.1,1.03,1.0,0.16,5.03,0.0,16.35
hutool,3.54,3.0,3.83,1.28,1.0,0.75,101.07,0.0,952.64
xxl-job,4.99,3.0,5.6,1.16,1.0,0.41,24.45,0.0,101.97
apollo,7.53,6.0,7.07,1.24,1.0,0.67,15.44,0.0,58.4
canal,5.8,4.0,6.44,1.38,1.0,0.82,77.03,1.0,466.33
SmartTube,6.66,4.0,8.08,1.55,1.0,1.46,66.31,1.0,456.65
spring-cloud-alibaba,5.93,5.0,4.97,1.11,1.0,0.35,29.87,0.0,310.83
SpringAll,5.24,4.0,4.28,1.11,1.0,0.37,3.75,0.0,11.86
Telegram,6.96,4.0,14.11,1.68,1.0,18.05,70.49,0.0,1381.11
druid,5.24,4.0,12.92,1.66,2.0,0.92,229.35,0.0,5182.85
vhr,4.44,2.0,5.84,1.02,1.0,0.15,48.33,6.0,225.79
Mindustry,,,0.0,,,0.0,,,0.0
JCSprout,1.96,1.0,1.86,1.09,1.0,0.37,1.77,0.0,6.36
miaosha,4.15,3.0,4.54,1.13,1.0,0.39,14.3,0.0,85.54
kestra,8.12,6.0,8.61,1.43,1.0,0.81,15.4,0.0,103.95
openapi-generator,5.23,3.0,6.15,1.25,1.0,0.74,85.74,1.0,1108.11
incubator-seata,6.48,4.0,20.77,1.77,1.0,14.1,459.64,2.0,14692.32
flink,7.21,5.0,8.69,1.64,1.0,1.86,35.51,1.0,1177.98
fastjson,1.85,1.0,2.78,1.5,1.0,0.71,126.12,0.0,3281.97
toBeTopJavaer,,,0.0,,,0.0,,,0.0
butterknife,3.96,2.0,6.41,1.24,1.0,0.71,10.48,0.0,75.81
Chat2DB,6.09,4.0,7.03,1.27,1.0,0.56,16.49,0.0,84.84
bazel,7.57,5.0,10.41,1.62,1.0,1.33,71.06,1.0,960.69
SmartRefreshLayout,6.65,3.0,7.59,1.51,1.0,0.85,30.32,0.0,295.05
jenkins,6.35,4.0,8.53,1.91,2.0,1.76,46.62,0.0,908.98
libgdx,5.14,3.0,8.85,1.79,1.0,1.61,3433.1,0.0,144204.93
proxyee-down,5.52,4.0,6.22,1.47,1.0,0.93,19.52,2.0,49.73
skywalking,6.08,4.0,7.26,1.39,1.0,0.8,6.84,0.0,31.5
EventBus,3.43,3.0,3.07,1.84,1.0,1.42,9.05,0.0,35.08
Hystrix,3.34,2.0,5.19,1.57,1.0,3.59,20.25,0.0,385.24
gson,3.02,2.0,4.45,1.28,1.0,1.02,20.73,0.0,381.84
redisson,5.78,3.0,10.54,1.34,1.0,0.77,174.16,0.0,1612.88
Apktool,5.87,5.0,5.36,1.78,2.0,1.04,53.96,1.0,295.12
dataease,4.97,3.0,7.55,1.2,1.0,0.68,28.45,0.0,184.94
FizzBuzzEnterpriseEdition,2.9,2.0,2.84,1.0,1.0,0.0,0.23,0.0,0.72
LSPosed,5.52,3.0,7.25,1.65,1.0,1.29,48.11,0.0,319.85
source-code-hunter,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sentinel,4.41,3.0,4.45,1.18,1.0,0.65,12.34,0.0,46.44
awesome-low-level-design,2.63,2.0,2.55,1.14,1.0,0.43,3.05,0.0,11.14
jdk,,,0.0,,,0.0,,,0.0
rocketmq,7.09,4.0,10.85,1.33,1.0,0.75,136.52,1.0,2871.88
DSA-Bootcamp-Java,1.27,1.0,1.24,1.08,1.0,0.34,3.5,1.0,11.01
ExoPlayer,7.59,5.0,8.95,1.3,1.0,1.02,52.22,0.0,493.14
eladmin,8.01,5.0,7.68,1.16,1.0,0.45,6.26,0.0,19.56
graal,,,0.0,,,0.0,,,0.0
GSYVideoPlayer,5.33,2.0,6.78,1.54,1.0,1.48,52.35,0.0,301.42
thingsboard,,,0.0,,,0.0,,,0.0
HikariCP,4.38,3.0,4.2,1.29,1.0,0.66,172.67,0.0,1408.66
shardingsphere,7.35,5.0,13.45,1.37,1.0,0.73,29.73,0.0,421.88
DoKit,4.51,2.0,5.76,1.32,1.0,0.84,71.77,0.0,634.4
mybatis-3,3.57,2.0,4.99,1.24,1.0,0.78,21.27,0.0,249.08
litemall,4.62,3.0,5.85,1.13,1.0,0.33,1532.88,1.0,9402.6
RxAndroid,2.27,1.0,3.79,1.13,1.0,0.43,3.09,0.0,11.23
SpringBoot-Labs,4.3,4.0,2.97,1.05,1.0,0.27,1.44,0.0,6.75
intellij-community,,,0.0,,,0.0,,,0.0
cat,5.53,4.0,6.05,1.43,1.0,0.71,23.04,1.0,104.21
ip2region,4.1,4.0,2.93,1.21,1.0,0.58,11.38,0.0,34.49
PhotoView,4.73,3.0,5.54,1.36,1.0,0.57,24.6,0.0,157.26
antlr4,5.77,3.0,7.23,1.84,1.0,1.17,48.3,0.0,192.86
yudao-cloud,8.16,6.0,7.53,1.21,1.0,0.43,13.45,0.0,433.9
Sa-Token,4.49,3.0,4.42,1.22,1.0,0.77,60.22,1.0,695.16
Algorithms,2.72,3.0,1.77,1.06,1.0,0.23,23.85,3.0,72.63
APIJSON,5.91,3.0,8.67,1.24,1.0,0.67,1169.33,5.5,5422.46
disruptor,4.48,3.0,4.82,1.29,1.0,0.81,25.88,0.0,224.7
SpringCloudLearning,4.55,4.0,2.37,1.05,1.0,0.22,0.55,0.0,1.86
tinker,4.79,3.0,7.11,1.6,1.0,2.51,28.47,0.0,110.99
caffeine,5.07,3.0,6.83,1.55,1.0,1.39,166.43,0.0,1805.69
analysis-ik,4.93,4.0,4.05,1.34,1.0,0.48,20.66,4.0,41.0
zipkin,,,0.0,,,0.0,,,0.0
JustAuth,5.51,2.0,6.03,1.34,1.0,0.58,12.98,6.0,19.53
mybatis-plus,5.91,4.0,9.47,1.33,1.0,0.79,25.06,0.0,151.5
tech-interview-for-developer,1.31,1.0,0.75,1.0,1.0,0.0,0.92,0.0,3.04
material-components-android,7.17,4.0,8.37,1.54,1.0,0.99,94.19,1.0,974.06
fresco,6.63,5.0,6.57,1.42,1.0,0.89,27.14,0.0,119.6
DataX,4.5,3.0,5.77,1.72,1.0,1.51,22.65,0.0,185.32
Android-Universal-Image-Loader,4.86,3.0,4.88,1.59,1.0,0.96,28.84,0.5,99.82
BigData-Notes,5.71,5.0,3.51,1.22,1.0,0.42,0.82,0.0,1.86
questdb,,,0.0,,,0.0,,,0.0
java8-tutorial,1.03,1.0,1.04,1.0,1.0,0.0,3.91,0.0,9.33
Grasscutter,,,0.0,,,0.0,,,0.0
zheng,4.53,3.0,5.72,1.41,1.0,0.49,340.86,0.0,1786.34
presto,8.82,6.0,12.37,1.39,1.0,0.96,85.2,1.0,1604.08
springboot-learning-example,4.61,3.5,3.87,1.04,1.0,0.24,2.85,0.0,6.03
neo4j,,,0.0,,,0.0,,,0.0
awesome-leetcode-resources,1.18,1.0,0.4,1.0,1.0,0.0,4.73,0.0,8.26
VirtualXposed,3.95,2.0,5.33,2.79,2.0,11.86,14.7,0.0,128.64
SpringBoot-Learning,4.45,4.0,2.98,1.03,1.0,0.18,1.45,0.0,7.19
Android-CleanArchitecture,5.14,4.0,4.67,1.43,1.0,0.71,6.72,1.0,23.22
quarkus,5.19,4.0,6.39,1.23,1.0,0.67,53.22,0.0,6213.17
hadoop,7.47,4.0,11.43,1.61,1.0,1.45,70.32,0.0,941.14
bytecode-viewer,4.74,3.0,6.32,2.05,1.0,1.84,13.69,0.0,59.06
mockito,3.45,2.0,4.55,1.4,1.0,1.08,18.99,0.0,277.91
pulsar,6.88,4.0,10.31,1.68,1.0,3.88,89.86,0.0,1466.39
doris,8.45,5.0,19.91,1.71,1.0,1.13,124.99,1.0,3025.55
jd-gui,4.54,3.0,5.43,2.42,1.0,2.34,11.12,1.0,51.07
flink-learning,4.38,3.0,4.45,1.14,1.0,0.38,3.02,0.0,17.52
supertokens-core,11.26,10.0,11.52,1.33,1.0,0.93,73.71,3.0,1245.97
zaproxy,4.75,3.0,6.04,1.91,1.0,1.81,70.92,1.0,358.62
cryptomator,8.41,6.0,8.14,1.42,1.0,0.96,19.62,1.0,69.04
logstash,5.41,4.0,5.9,1.62,1.0,2.12,21.57,1.0,106.04
onedev,5.85,4.0,8.95,1.4,1.0,0.83,26.85,0.0,521.81
vert.x,6.68,4.0,9.31,1.64,1.0,1.29,157.22,1.0,1612.87
Arduino,4.13,2.0,6.05,1.77,1.0,1.92,32.72,0.0,208.26
CircleImageView,11.0,5.0,13.08,2.33,2.0,0.58,178.67,0.0,309.46
QMUI_Android,5.47,3.0,6.56,1.63,1.0,1.34,35.34,0.0,197.9
ARouter,3.69,2.0,4.91,1.41,1.0,0.78,17.45,0.0,83.33
jib,7.06,5.0,7.5,1.22,1.0,0.65,17.12,0.0,73.25
languagetool,5.4,4.0,6.29,1.59,1.0,0.99,55.66,1.0,405.0
deeplearning4j,8.4,7.0,9.52,2.19,2.0,19.3,54025.11,7.0,2351679.65
dolphinscheduler,6.57,5.0,6.42,1.37,1.0,0.68,9.9,0.0,49.54
kkFileView,6.76,5.0,5.98,1.08,1.0,0.33,321.85,0.0,2930.63
zuul,6.56,4.0,7.78,1.61,1.0,1.01,25.0,1.0,138.63
mit-deep-learning-book-pdf,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
xpipe,7.23,5.0,7.05,1.64,1.0,1.34,19.93,1.0,177.41
piggymetrics,6.04,5.0,4.34,1.06,1.0,0.24,3.83,0.0,10.08
logger,5.83,6.0,3.05,1.17,1.0,0.38,14.94,0.0,35.59
pinpoint,5.25,4.0,5.82,1.14,1.0,0.49,11.74,0.0,89.49
Material-Animations,4.4,2.0,4.06,1.47,1.0,0.76,4.76,0.0,16.11
spring-analysis,2.42,2.0,2.65,1.24,1.0,0.75,1.79,0.0,3.19
AndroidAutoSize,5.41,4.0,4.24,1.41,1.0,0.5,31.29,1.0,136.3
PictureSelector,5.16,2.0,8.66,1.24,1.0,0.67,49.45,0.0,372.19
tink,7.67,5.0,7.43,1.29,1.0,1.24,30.08,1.0,184.05
Android-PickerView,3.73,2.0,5.06,1.15,1.0,0.36,15.49,0.0,90.56
lombok,,,0.0,,,0.0,,,0.0
mall-learning,4.97,3.0,4.52,1.1,1.0,0.31,229.51,0.0,1250.42
dex2jar,5.43,3.0,6.85,1.57,1.0,0.98,21.13,0.0,136.51
metersphere,6.68,3.0,11.38,1.3,1.0,0.55,446.24,0.0,3759.16
banner,6.08,5.0,6.16,1.84,2.0,0.69,47.68,1.0,350.9
COLA,4.33,3.0,4.52,1.33,1.0,0.71,4.97,0.0,18.32
mall-swarm,3.79,3.0,4.73,1.23,1.0,0.43,1106.23,13.0,8134.41
plantuml,7.18,5.0,7.46,1.52,1.0,0.87,36.3,1.0,607.37
spring-boot-admin,7.75,6.0,6.13,1.29,1.0,0.68,7.26,0.0,27.79
zookeeper,5.69,3.0,7.08,1.99,1.0,3.01,37.09,0.0,388.85
guice,3.8,2.0,5.41,1.3,1.0,1.25,8.46,0.0,77.87
GmsCore,6.04,5.0,4.96,1.72,2.0,0.88,13.88,0.0,67.08
stetho,4.38,3.0,5.37,1.42,1.0,1.25,7.5,0.0,31.25
eureka,5.86,4.0,6.44,1.27,1.0,0.7,18.61,0.0,134.19
trino,,,0.0,,,0.0,,,0.0
OpenSearch,7.46,5.0,9.97,1.72,1.0,1.49,39.7,1.0,454.96
greenDAO,5.02,4.0,4.69,2.1,1.0,1.72,47.45,1.0,241.28
Matisse,6.66,5.0,7.38,1.39,1.0,0.63,8.08,0.0,16.14
debezium,6.83,4.0,7.54,1.61,1.0,1.02,60.26,1.0,564.58
AndroidViewAnimations,3.38,2.0,7.03,1.8,2.0,0.4,2.29,0.0,12.89
lawnchair,10.78,5.0,15.54,1.55,1.0,1.11,193.35,1.0,2251.65
Mybatis-PageHelper,5.82,6.0,4.89,1.46,1.0,0.86,29.39,0.0,189.82
AndroidSwipeLayout,3.72,2.0,4.94,1.32,1.0,0.6,58.91,0.0,480.28
jedis,5.71,3.0,8.66,1.42,1.0,0.97,460.81,1.0,13684.39
android-interview-questions,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
xManager,2.02,2.0,2.6,1.02,1.0,0.24,4.73,0.0,69.9
Aegis,7.43,5.0,9.53,1.71,1.0,1.03,22.87,1.0,143.47
uCrop,6.34,3.0,8.66,1.36,1.0,0.84,28.91,1.0,81.55
Paper,6.96,5.0,12.19,1.68,1.0,1.3,102.1,1.0,1611.02
grpc-java,5.65,3.0,8.02,1.42,1.0,1.07,14.21,0.0,129.58
matrix,5.68,3.0,7.13,1.34,1.0,1.01,12.89,0.0,65.67
kafka-ui,7.24,5.0,7.31,1.51,1.0,1.07,17.13,1.0,86.13
VasSonic,4.2,2.0,4.9,1.28,1.0,0.59,21.61,0.0,96.04
OpenRefine,6.7,5.0,6.59,1.69,1.0,0.9,13.15,1.0,59.22
datahub,11.32,9.0,12.88,1.21,1.0,0.58,21.87,1.0,110.55
fullstack-tutorial,,,0.0,,,0.0,,,0.0
webmagic,4.53,4.0,3.87,1.18,1.0,0.59,11.47,1.0,76.64
joyagent-jdgenie,4.98,4.0,5.65,1.12,1.0,0.45,4.73,0.0,17.51
newbee-mall,5.03,2.0,6.25,1.07,1.0,0.45,34.91,4.0,68.18
starrocks,7.21,3.0,16.56,1.47,1.0,1.04,134.55,0.0,3434.34
realm-java,4.29,2.0,6.75,1.21,1.0,0.72,51.75,0.0,656.66
CtCI-6th-Edition,2.13,2.0,1.57,1.07,1.0,0.33,4.48,1.0,16.7
ImmersionBar,6.35,5.0,7.11,2.11,2.0,1.0,159.25,3.0,1752.52
jsoup,6.12,4.0,7.19,1.77,1.0,3.07,229.36,1.0,1827.94
spider-flow,5.39,4.0,5.17,1.73,1.0,3.4,20.33,1.0,49.79
langchain4j,6.22,4.0,6.97,1.21,1.0,0.62,20.64,1.0,93.79
interview,2.01,2.0,1.22,1.04,1.0,0.31,3.41,1.0,13.56
cas,10.23,9.0,7.43,1.49,1.0,1.02,7.8,0.0,146.44
PermissionsDispatcher,1.62,0.0,3.28,1.23,1.0,0.53,34.38,3.0,327.19
SmarterStreaming,3.85,2.0,7.19,1.05,1.0,0.22,71.55,0.0,506.26
FileDownloader,4.53,2.0,5.45,1.69,1.0,2.5,42.01,1.0,232.45
FlycoTabLayout,6.45,3.0,8.87,1.55,1.0,0.71,223.09,1.0,720.45
pkl,6.4,5.0,8.16,4.32,3.0,15.31,29.86,0.0,223.78
jjwt,5.62,4.0,6.83,1.99,1.0,2.38,25.83,1.0,142.15
SlidingMenu,5.12,3.0,5.57,1.96,1.0,1.59,47.45,0.0,228.99
androidannotations,5.96,4.0,6.42,1.68,1.0,0.9,26.1,1.0,213.18
VirtualApp,3.94,2.0,5.28,2.59,2.0,11.27,15.61,0.0,114.81
javapoet,4.52,2.0,5.92,1.15,1.0,0.61,129.29,0.0,749.24
clojure,3.6,0.0,7.87,1.5,1.0,2.34,130.21,0.0,1974.74
platform_frameworks_base,,,0.0,,,0.0,,,0.0
Java-WebSocket,3.59,2.0,4.16,1.82,1.0,1.35,37.06,6.0,184.23
vlayout,5.31,3.0,6.71,1.86,1.0,1.49,72.54,0.0,368.43
astron-agent,6.18,4.0,8.97,1.06,1.0,0.28,24.56,0.0,294.03
zfile,7.09,4.0,8.14,1.48,1.0,1.09,9.8,0.0,47.44
android-async-http,5.66,4.0,6.15,1.79,1.0,1.08,45.88,3.0,293.7
resilience4j,7.18,6.0,6.39,1.45,1.0,0.99,17.66,1.0,97.05
okhttp-OkGo,5.65,5.0,5.14,1.62,1.0,1.08,19.45,0.0,124.5
auto,4.12,3.0,8.62,1.71,1.0,3.25,25.94,1.0,270.65
Activiti,5.81,4.0,8.62,1.52,1.0,0.88,89.48,1.0,1567.78
JiaoZiVideoPlayer,7.28,6.0,6.45,2.12,2.0,0.98,56.64,4.0,213.18
Signal-Server,9.31,5.0,13.72,1.48,1.0,0.96,15.81,0.0,104.83
RxPermissions,4.65,2.0,5.67,1.1,1.0,0.31,10.1,0.0,33.52
aws-doc-sdk-examples,7.11,5.0,6.53,1.04,1.0,0.31,6.36,1.0,24.59
sonarqube,7.27,5.0,8.85,1.16,1.0,0.5,27.69,0.0,202.98
MVPArms,6.64,5.0,5.94,1.28,1.0,0.57,32.1,3.0,147.02
GoGoGo,7.71,4.0,13.43,1.46,1.0,0.71,12.88,1.0,46.1
ViewPagerIndicator,6.02,6.0,5.23,2.71,3.0,1.25,29.27,0.0,127.34
CoreNLP,5.92,4.0,7.92,1.65,1.0,2.48,148.58,0.0,1831.55
JsBridge,3.5,1.5,5.0,1.16,1.0,0.37,17.09,0.0,51.74
spring-reading,2.81,3.0,2.18,1.03,1.0,0.16,0.54,0.0,3.2
glide-transformations,5.56,5.0,3.36,2.15,2.0,0.77,2.78,0.0,4.53
easypermissions,8.94,8.0,5.8,1.48,1.0,0.62,12.21,6.0,21.77
paascloud-master,6.1,4.0,6.05,1.32,1.0,0.54,5.46,0.0,25.62
MagicIndicator,5.0,4.0,4.54,1.34,1.0,0.57,26.94,3.0,79.46
feign,5.09,3.0,6.22,1.67,1.0,3.16,14.29,0.0,90.04
AVLoadingIndicatorView,3.57,2.0,2.36,1.78,1.0,1.05,6.75,0.0,42.84
spring-boot-api-project-seed,5.0,4.0,4.68,1.27,1.0,0.8,9.73,0.0,18.67
spinnaker,6.62,5.0,6.88,1.51,1.0,1.1,14.1,0.0,213.53
Fragmentation,5.23,3.0,5.16,1.71,1.0,1.1,15.12,0.0,102.27
cassandra,6.89,5.0,8.07,1.77,1.0,1.87,60.63,1.0,1456.08
spark,4.54,3.0,4.73,1.3,1.0,0.78,47.12,0.0,408.47
android-gif-drawable,6.12,4.0,6.36,1.66,1.0,1.29,59.73,0.0,286.66
react-native-camera,,,0.0,,,0.0,,,0.0
opendataloader-pdf,7.45,5.0,7.02,1.19,1.0,0.41,52.08,1.0,221.94
automq,7.22,4.0,12.08,1.4,1.0,1.04,45.89,0.0,594.88
Android-ObservableScrollView,5.01,3.0,4.61,1.97,2.0,1.17,7.57,0.0,30.68
flyway,5.93,4.0,5.79,1.5,1.0,0.94,51.2,1.0,597.71
DanmakuFlameMaster,5.16,3.0,6.12,1.61,1.0,1.37,47.51,1.0,158.94
EhViewer,7.14,4.0,10.2,1.82,1.0,1.51,45.26,1.0,450.45
Mycat-Server,4.9,3.0,6.21,1.29,1.0,0.72,78.49,0.0,882.93
android-Ultra-Pull-To-Refresh,4.06,2.0,4.39,1.42,1.0,0.75,19.14,0.0,138.96
cim,4.83,4.0,4.82,1.28,1.0,0.74,8.01,0.0,31.29
AndroidSlidingUpPanel,4.94,2.0,6.64,1.35,1.0,0.79,132.0,0.0,373.94
spring-security,7.71,5.0,8.47,1.26,1.0,0.74,10.49,0.0,50.47
AgentWeb,5.4,3.0,7.35,1.49,1.0,1.0,18.79,0.0,99.16
JsonPath,4.59,3.0,4.97,1.48,1.0,1.07,29.39,0.0,121.22
PocketHub,6.58,5.0,5.34,1.48,1.0,0.76,9.04,0.0,35.25
CalendarView,6.57,4.0,7.12,2.16,1.0,1.49,53.18,3.0,390.13
AndroidNote,4.88,1.0,5.99,1.38,1.0,0.52,8.12,3.0,12.74
testing-samples,5.5,5.5,3.55,1.35,1.0,0.53,3.15,0.0,6.81
jmeter,5.53,4.0,6.03,2.0,2.0,1.5,62.19,3.0,381.8
seatunnel,6.86,5.0,7.19,1.36,1.0,0.7,32.03,1.0,392.17
android-gpuimage,2.96,2.0,3.75,2.16,2.0,1.19,11.3,0.0,54.18
flowable-engine,6.55,4.0,9.46,1.62,1.0,0.96,151.18,1.0,2964.17
VirtualAPK,4.9,3.0,6.17,1.61,1.0,1.43,17.58,1.0,66.28
HMCL,6.88,4.0,8.34,1.72,1.0,1.54,35.21,1.0,333.58
spring-ai-alibaba,6.23,4.0,6.86,1.21,1.0,0.62,13.64,1.0,63.06
Jetpack-MVVM-Best-Practice,4.84,3.0,5.08,1.62,1.0,1.07,12.0,0.0,68.97
MaterialDesignLibrary,4.54,3.0,4.49,1.82,1.0,1.23,6.76,0.0,18.9
Android_Data,2.0,2.0,2.83,1.0,1.0,0.0,3.0,3.0,4.24
LSPatch,4.34,2.0,5.9,1.35,1.0,0.86,23.88,0.0,186.88
jna,4.86,3.0,6.6,2.53,2.0,4.96,44.59,0.0,513.41
checkstyle,,,0.0,,,0.0,,,0.0
ysoserial,5.46,3.0,5.66,1.34,1.0,0.67,8.89,1.0,57.46
karate,5.64,4.0,6.11,1.2,1.0,0.6,149.75,3.0,490.57
PojavLauncher,6.23,3.0,8.19,1.41,1.0,0.69,124.73,1.0,1599.12
storm,4.43,3.0,5.15,1.29,1.0,0.93,33.07,1.0,133.14
shenyu,5.99,4.0,6.02,1.23,1.0,0.58,18.16,1.0,67.27
StatusBarUtil,4.15,3.0,3.53,1.55,1.0,0.83,22.55,0.0,124.49
baritone,6.7,4.0,8.28,1.39,1.0,0.81,22.17,1.0,128.19
awesome-java-leetcode,1.68,2.0,0.55,1.0,1.0,0.0,1.17,1.0,0.69
iceberg,8.63,6.0,8.46,1.69,1.0,1.69,37.13,1.0,178.2
Android-PullToRefresh,6.02,4.5,5.85,2.11,2.0,1.36,55.84,1.0,370.86
Android-SpinKit,4.82,5.0,3.53,3.17,2.0,2.47,21.52,1.0,134.57
Android-Debug-Database,4.15,4.0,3.8,1.28,1.0,0.52,8.8,0.0,22.8
react-native-image-picker,6.18,4.0,6.43,1.55,2.0,0.52,66.18,1.0,211.24
AndResGuard,3.53,2.0,4.56,1.5,1.0,0.86,22.38,1.5,44.34
testcontainers-java,5.32,4.0,4.79,1.48,1.0,0.84,21.76,1.0,163.43
dropwizard,5.96,4.0,5.9,1.52,1.0,1.0,18.82,0.0,214.63
epoxy,7.18,5.0,6.33,1.81,2.0,1.07,138.32,1.0,319.75
buck,,,0.0,,,0.0,,,0.0
tsunami-security-scanner,6.23,5.0,6.11,1.53,1.0,0.94,15.12,1.0,53.54
junit4,3.87,3.0,4.19,1.46,1.0,1.05,12.96,0.0,130.54
Calligraphy,5.72,5.0,5.06,1.44,1.0,0.58,11.36,3.0,26.94
aeron,8.02,4.0,10.23,1.3,1.0,0.92,119.11,0.0,1333.82
beam,7.48,5.0,8.21,1.53,1.0,1.38,20.46,0.0,175.74
im-server,6.45,3.0,8.34,1.54,1.0,2.5,112.18,1.0,466.2
AndroidPdfViewer,4.86,1.0,8.11,1.25,1.0,0.61,76.77,0.0,440.47
hsweb-framework,6.17,4.0,6.18,1.35,1.0,1.1,11.53,0.0,41.12
BottomBar,4.91,2.0,6.83,1.29,1.0,0.63,61.67,0.0,332.03
pentaho-kettle,6.05,2.0,9.24,1.28,1.0,0.62,81.92,0.0,1226.45
spring-ai,6.99,5.0,7.67,1.21,1.0,0.92,28.2,1.0,355.29
javacv,6.13,4.0,6.77,2.13,1.0,1.92,134.85,1.0,709.53
transmittable-thread-local,5.59,5.0,3.73,1.43,1.0,1.09,12.35,1.0,38.26
UltimateAndroidReference,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
shardingsphere-elasticjob,5.46,4.0,5.08,1.15,1.0,0.5,3.19,0.0,12.57
LeetCode-Book,1.29,1.0,0.92,1.0,1.0,0.05,0.07,0.0,0.48
atlas,5.64,4.0,6.72,1.44,1.0,0.92,29.88,1.0,157.49
otter,4.61,3.0,5.38,1.37,1.0,0.75,32.45,1.0,252.54
tomcat,4.54,3.0,5.88,1.82,1.0,1.66,182.43,0.0,4458.61
MaterialViewPager,4.55,3.0,4.84,1.3,1.0,0.55,9.39,0.0,26.48
LitePal,5.01,3.0,5.16,1.65,1.0,0.96,49.45,0.0,248.87
GhidraMCP,16.33,4.0,24.91,1.67,2.0,0.58,459.0,3.0,792.41
XPopup,4.7,3.0,6.32,1.58,1.0,1.13,22.9,0.0,135.88
subsampling-scale-image-view,5.62,3.5,6.62,1.58,1.0,0.88,79.72,0.0,641.02
1brc,3.17,3.0,2.48,1.09,1.0,0.38,7.58,1.0,23.53
graylog2-server,8.22,6.0,9.07,1.33,1.0,0.71,18.33,1.0,103.23
SimianArmy,5.85,4.0,7.31,1.42,1.0,0.77,25.16,3.0,112.01
hugo,5.71,7.0,4.23,1.14,1.0,0.38,27.71,6.0,43.52
